År;CD;Nedladdning
1973;;
1974;;
1975;;
1976;;
1977;;
1978;;
1979;;
1980;;
1981;;
1982;;
1983;0.051;
1984;0.291;
1985;1.059;
1986;2.484;
1987;4.105;
1988;5.194;
1989;6.107;
1990;7.742;
1991;9.396;
1992;11.205;
1993;13.28;
1994;16.826;
1995;18.22;
1996;18.874;
1997;18.576;
1998;20.879;
1999;22.904;
2000;22.701;
2001;21.464;
2002;19.625;
2003;17.923;
2004;17.757;0.284
2005;15.781;0.748
2006;13.617;1.243
2007;10.538;1.847
2008;7.442;2.267
2009;5.896;2.614
2010;4.553;2.964
2011;4.039;3.374
2012;3.172;3.632
2013;2.693;3.525
2014;2.2;3.057
2015;1.786;2.778
2016;1.379;2.157
2017;1.247;1.573
2018;0.811;1.148
2019;0.722;0.89
2020;0.547;0.704
2021;0.632;0.618
