År,CD,Ljudnivå
1973,,-11.36
1974,,-11.17
1975,,-11.25
1976,,-10.82
1977,,-10.98
1978,,-10.86
1979,,-10.71
1980,,-10.7
1981,,-10.86
1982,,-10.97
1983,0.051,-11.38
1984,0.291,-11.09
1985,1.059,-11.21
1986,2.484,-10.82
1987,4.105,-10.83
1988,5.194,-10.93
1989,6.107,-10.94
1990,7.742,-10.94
1991,9.396,-11.18
1992,11.205,-11.19
1993,13.28,-10.77
1994,16.826,-10.72
1995,18.22,-10.24
1996,18.874,-9.93
1997,18.576,-9.54
1998,20.879,-8.89
1999,22.904,-8.58
2000,22.701,-8.06
2001,21.464,-7.68
2002,19.625,-7.82
2003,17.923,-7.61
2004,17.757,-7.37
2005,15.781,-7.24
2006,13.617,-7.14
2007,10.538,-7.11
2008,7.442,-7.06
2009,5.896,-7.1
2010,4.553,-7.24
2011,4.039,-7.33
2012,3.172,-6.99
2013,2.693,-7.19
2014,2.2,-7.05
2015,1.786,-7.48
2016,1.379,-7.34
2017,1.247,-7.38
2018,0.811,-7.53
2019,0.722,-7.67
2020,0.547,-7.83
2021,0.632,-8.22
