year,cd,cassette,download,vinyl,streaming,loudness
1973,,0.501,,9.465,,-11.36
1974,,0.518,,9.201,,-11.17
1975,,0.537,,9.228,,-11.25
1976,,0.749,,9.814,,-10.82
1977,,1.205,,11.784,,-10.98
1978,,2.019,,12.27,,-10.86
1979,,2.34,,9.717,,-10.71
1980,,2.504,,8.702,,-10.7
1981,,3.422,,8.365,,-10.86
1982,,4.199,,6.696,,-10.97
1983,0.051,5.321,,5.754,,-11.38
1984,0.291,6.715,,5.204,,-11.09
1985,1.059,6.559,,4.247,,-11.21
1986,2.484,6.674,,3.234,,-10.82
1987,4.105,7.662,,2.567,,-10.83
1988,5.194,8.516,,1.763,,-10.93
1989,6.107,8.356,,0.795,,-10.94
1990,7.742,8.353,,0.405,,-10.94
1991,9.396,6.983,,0.2,,-11.18
1992,11.205,7.124,,0.167,,-11.19
1993,13.28,6.51,,0.125,,-10.77
1994,16.826,6.42,,0.128,,-10.72
1995,18.22,4.877,,0.138,,-10.24
1996,18.874,3.907,,0.157,,-9.93
1997,18.576,3.02,,0.126,,-9.54
1998,20.879,2.719,,0.107,,-8.89
1999,22.904,1.949,,0.105,,-8.58
2000,22.701,1.072,,0.092,,-8.06
2001,21.464,0.601,,0.097,,-7.68
2002,19.625,0.341,,0.074,,-7.82
2003,17.923,0.172,,0.069,,-7.61
2004,17.757,0.037,0.284,0.061,,-7.37
2005,15.781,0.02,0.748,0.041,0.224,-7.24
2006,13.617,0.005,1.243,0.037,0.299,-7.14
2007,10.538,0.004,1.847,0.038,0.33,-7.11
2008,7.442,0.001,2.267,0.081,0.301,-7.06
2009,5.896,,2.614,0.09,0.281,-7.1
2010,4.553,,2.964,0.122,0.285,-7.24
2011,4.039,,3.374,0.161,0.47,-7.33
2012,3.172,,3.632,0.211,0.728,-6.99
2013,2.693,,3.525,0.268,1.086,-7.19
2014,2.2,,3.057,0.308,1.303,-7.05
2015,1.786,,2.778,0.419,1.888,-7.48
2016,1.379,,2.157,0.439,3.647,-7.34
2017,1.247,,1.573,0.471,5.691,-7.38
2018,0.811,,1.148,0.495,7.36,-7.53
2019,0.722,,0.89,0.557,9.128,-7.67
2020,0.547,,0.704,0.735,10.264,-7.83
2021,0.632,,0.618,1.137,12.283,-8.22
