År,Streaming,Låtlängd
1973,,232.112
1974,,235.848
1975,,230.649
1976,,237.252
1977,,232.282
1978,,230.241
1979,,217.481
1980,,214.392
1981,,215.928
1982,,218.148
1983,,218.776
1984,,217.778
1985,,224.616
1986,,223.435
1987,,230.003
1988,,240.796
1989,,234.431
1990,,236.24
1991,,229.299
1992,,234.246
1993,,239.566
1994,,237.378
1995,,239.136
1996,,243.126
1997,,235.982
1998,,240.074
1999,,240.098
2000,,242.663
2001,,244.655
2002,,242.331
2003,,239.084
2004,,239.535
2005,0.224,240.627
2006,0.299,239.63
2007,0.33,240.985
2008,0.301,237.139
2009,0.281,236.831
2010,0.285,248.345
2011,0.47,242.306
2012,0.728,237.202
2013,1.086,241.011
2014,1.303,235.075
2015,1.888,228.906
2016,3.647,231.237
2017,5.691,230.847
2018,7.36,223.684
2019,9.128,216.236
2020,10.264,203.459
2021,12.283,190.967
