format,year,revenue
CD,1983,0.051
CD,1984,0.291
CD,1985,1.059
CD,1986,2.484
CD,1987,4.105
CD,1988,5.194
CD,1989,6.107
CD,1990,7.742
CD,1991,9.396
CD,1992,11.205
CD,1993,13.28
CD,1994,16.826
CD,1995,18.22
CD,1996,18.874
CD,1997,18.576
CD,1998,20.879
CD,1999,22.904
CD,2000,22.701
CD,2001,21.464
CD,2002,19.625
CD,2003,17.923
CD,2004,17.757
CD,2005,15.781
CD,2006,13.617
CD,2007,10.538
CD,2008,7.442
CD,2009,5.896
CD,2010,4.553
CD,2011,4.039
CD,2012,3.172
CD,2013,2.693
CD,2014,2.2
CD,2015,1.786
CD,2016,1.379
CD,2017,1.247
CD,2018,0.811
CD,2019,0.722
CD,2020,0.547
CD,2021,0.632
Cassette,1973,0.501
Cassette,1974,0.518
Cassette,1975,0.537
Cassette,1976,0.749
Cassette,1977,1.205
Cassette,1978,2.019
Cassette,1979,2.34
Cassette,1980,2.504
Cassette,1981,3.422
Cassette,1982,4.199
Cassette,1983,5.321
Cassette,1984,6.715
Cassette,1985,6.559
Cassette,1986,6.674
Cassette,1987,7.662
Cassette,1988,8.516
Cassette,1989,8.356
Cassette,1990,8.353
Cassette,1991,6.983
Cassette,1992,7.124
Cassette,1993,6.51
Cassette,1994,6.42
Cassette,1995,4.877
Cassette,1996,3.907
Cassette,1997,3.02
Cassette,1998,2.719
Cassette,1999,1.949
Cassette,2000,1.072
Cassette,2001,0.601
Cassette,2002,0.341
Cassette,2003,0.172
Cassette,2004,0.037
Cassette,2005,0.02
Cassette,2006,0.005
Cassette,2007,0.004
Cassette,2008,0.001
Download,2004,0.284
Download,2005,0.748
Download,2006,1.243
Download,2007,1.847
Download,2008,2.267
Download,2009,2.614
Download,2010,2.964
Download,2011,3.374
Download,2012,3.632
Download,2013,3.525
Download,2014,3.057
Download,2015,2.778
Download,2016,2.157
Download,2017,1.573
Download,2018,1.148
Download,2019,0.89
Download,2020,0.704
Download,2021,0.618
LP/EP/Vinyl,1973,9.465
LP/EP/Vinyl,1974,9.201
LP/EP/Vinyl,1975,9.228
LP/EP/Vinyl,1976,9.814
LP/EP/Vinyl,1977,11.784
LP/EP/Vinyl,1978,12.27
LP/EP/Vinyl,1979,9.717
LP/EP/Vinyl,1980,8.702
LP/EP/Vinyl,1981,8.365
LP/EP/Vinyl,1982,6.696
LP/EP/Vinyl,1983,5.754
LP/EP/Vinyl,1984,5.204
LP/EP/Vinyl,1985,4.247
LP/EP/Vinyl,1986,3.234
LP/EP/Vinyl,1987,2.567
LP/EP/Vinyl,1988,1.763
LP/EP/Vinyl,1989,0.795
LP/EP/Vinyl,1990,0.405
LP/EP/Vinyl,1991,0.2
LP/EP/Vinyl,1992,0.167
LP/EP/Vinyl,1993,0.125
LP/EP/Vinyl,1994,0.128
LP/EP/Vinyl,1995,0.138
LP/EP/Vinyl,1996,0.157
LP/EP/Vinyl,1997,0.126
LP/EP/Vinyl,1998,0.107
LP/EP/Vinyl,1999,0.105
LP/EP/Vinyl,2000,0.092
LP/EP/Vinyl,2001,0.097
LP/EP/Vinyl,2002,0.074
LP/EP/Vinyl,2003,0.069
LP/EP/Vinyl,2004,0.061
LP/EP/Vinyl,2005,0.041
LP/EP/Vinyl,2006,0.037
LP/EP/Vinyl,2007,0.038
LP/EP/Vinyl,2008,0.081
LP/EP/Vinyl,2009,0.09
LP/EP/Vinyl,2010,0.122
LP/EP/Vinyl,2011,0.161
LP/EP/Vinyl,2012,0.211
LP/EP/Vinyl,2013,0.268
LP/EP/Vinyl,2014,0.308
LP/EP/Vinyl,2015,0.419
LP/EP/Vinyl,2016,0.439
LP/EP/Vinyl,2017,0.471
LP/EP/Vinyl,2018,0.495
LP/EP/Vinyl,2019,0.557
LP/EP/Vinyl,2020,0.735
LP/EP/Vinyl,2021,1.137
Streaming,2005,0.224
Streaming,2006,0.299
Streaming,2007,0.33
Streaming,2008,0.301
Streaming,2009,0.281
Streaming,2010,0.285
Streaming,2011,0.47
Streaming,2012,0.728
Streaming,2013,1.086
Streaming,2014,1.303
Streaming,2015,1.888
Streaming,2016,3.647
Streaming,2017,5.691
Streaming,2018,7.36
Streaming,2019,9.128
Streaming,2020,10.264
Streaming,2021,12.283
